authorMeta/fans,authorMeta/name,collectCount,commentCount,createTimeISO,diggCount,isSponsored,locationMeta/city,locationMeta/locationName,playCount,shareCount,text,videoMeta/duration,webVideoUrl
1272,keziakatilii,139,109,2025-02-13 11:23:30+00:00,1619,True,Denpasar,Kopi Kenangan - Renon Bali,109900,113,Replying to @onlyhmnsz #lokerkopikenangan2025 #lokerbarista #kopikenanganbali ,13,https://www.tiktok.com/@keziakatilii/video/7470862851033419015
7335,inspirasi_q1,997,81,2022-09-25 01:58:27+00:00,5534,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,938500,6347,Kopi pagi ini  #quotes #lovequotes #kopihitam #kopipahit #kopipagi #storywa #fyp #foryou ,15,https://www.tiktok.com/@inspirasi_q1/video/7147130945059999003
977,mawardiabdulghani,458,609,2025-06-16 00:29:05+00:00,5116,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,112300,793,,140,https://www.tiktok.com/@mawardiabdulghani/video/7516337673062141240
2815,natasyahkamaa,1035,306,2025-06-15 00:13:49+00:00,9050,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,239800,720,"Penat semalam berjaga mata 🤣🙂‍↔️ makan pon sambil pegang 2phone🤣🤣
@sitijamumall 
#beritaviral #ceritasensasidikedaikopi #sitijamumall #aimantakkesah #ayunieso24 ",182,https://www.tiktok.com/@natasyahkamaa/video/7515962656096914706
3100000,ismethalatas,3308,1582,2022-10-13 05:20:47+00:00,31600,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,1400000,2082,Pecinta es kopi wajib nonton sampe habis! Siapa juaranya? #fypシ #fyp #battle #challenge ,84,https://www.tiktok.com/@ismethalatas/video/7153862632406011163
148,uzmakmrz,8556,448,2025-04-08 04:44:24+00:00,51400,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,599800,9671,make it permanent please @Kenangancoffee.my ,8,https://www.tiktok.com/@uzmakmrz/video/7490798597458431240
869500,milop.dessert,32,35,2025-06-06 13:06:11+00:00,711,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,44900,103,DAY 2 BPP,84,https://www.tiktok.com/@milop.dessert/video/7512821936813067538
182,auliacintaku8,9,9,2025-06-09 03:22:17+00:00,70,True,Queens,Hong Kong,2679,12,,17,https://www.tiktok.com/@auliacintaku8/video/7513784642978336031
2836,adueldiaries,3872,491,2024-10-28 02:52:32+00:00,41800,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,730100,1628,,6,https://www.tiktok.com/@adueldiaries/video/7430653941232241926
248100,masalalumusik,665,85,2024-12-20 18:15:21+00:00,3884,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,166800,526,"Kau Yang T'lah Pergi - Caffeine (2001)
.
.
Versi Remake Template Lirik Capcut.
.
.
#kauyangtlahpergi #caffeine #masalalumusik #lirik #liriklagu #lagu #lagupop #lagulawas #bahanswmu #request #lagu2000an #nostalgia2000an #storymu #storywa #storyig #story #templatelirik #templatecapcut #template #CapCut ",58,https://www.tiktok.com/@masalalumusik/video/7450559276621352198
1100000,drelvingultom,395,181,2023-11-20 11:10:37+00:00,3502,True,Tidak Mengisi/Tidak diketahui,Surabaya,407000,231,"Bu wiwin penjual kopi keliling yang ramah dan baik hatinya 

Kalau kamu jadi bu wiwin mau nggak bantu orang gak dikenal...

#kopi #pedagangkakilima #penjualkopi ",147,https://www.tiktok.com/@drelvingultom/video/7303500116646956294
85100,bykopigowes,11000,480,2024-12-19 11:51:27+00:00,337900,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,12400000,1314,Kakaknya baik deh 😇 #kopigowes,35,https://www.tiktok.com/@bykopigowes/video/7450089275732839686
40500,kanaechill,11000,999,2024-11-18 08:30:00+00:00,82000,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,923500,5208,"||Maria Koffie||
""ကနေ့chill"" နဲ့အတူဘဝကိုပျော်ရွှင်စွာခံစားလိုက်ပါ
#cafe #barandrestaurant #BBQ #europefood #Whatisinmandalay #Chil #kanaechill",88,https://www.tiktok.com/@kanaechill/video/7438508764921089298
9900000,hariyoaa,3460,255,2024-07-26 11:28:59+00:00,81800,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,1800000,902,Kakaknya mau nutup target sih ini,56,https://www.tiktok.com/@hariyoaa/video/7395905057805389061
103600,tphong_2005,21500,986,2023-10-23 00:51:31+00:00,132300,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,2200000,2206,Tập 136 | Cafe không đuờng #tphong05 #rap #chill #music #tamtrang #xh #xuhuong #,56,https://www.tiktok.com/@tphong_2005/video/7292950138304171265
8709,dien.lampung,88,72,2025-05-31 12:54:25+00:00,665,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,65300,26,Entres Klon Arsyad #petanikopi #petaniindonesia,8,https://www.tiktok.com/@dien.lampung/video/7510592387341700357
43600,blackcoffee.02,651,69,2025-01-20 14:33:55+00:00,8400,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,656600,4096,#storywhatsapp #CapCut #katakata #quotes #xybca #storywa #nostalgia #iwanfals #oi #fyp #fypシ゚ #viraltiktok #foryou #foryoupage #fypage #trend #fyppppppppppppppppppppppp ,24,https://www.tiktok.com/@blackcoffee.02/video/7462005856985550085
92600,nandaprimaofficial,392,120,2025-03-06 13:04:01+00:00,2597,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,93300,68,Nostalgia ‼️ yang nge galau bareng lagu ini tahun 2001 .. sekarang lagi pada ngapain ??  Kau Yang T'lah Pergi - Caffeine  #fyp #kauyangtlahpergi #caffein #cover #nandaprima #vocmicmerah ,33,https://www.tiktok.com/@nandaprimaofficial/video/7478681543611895048
150,tapotopo4,2,1,2024-05-13 06:03:19+00:00,19,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,1439,4,Kau Yang Telah Pergi - Caffeine. Lagu ini menceritakan tentang perpisahan sepasang kekasih yang tidak akan pernah bertemu kembali. #liriklagu #lilin #Bandcaffeine,30,https://www.tiktok.com/@tapotopo4/video/7368360829638462726
18800,kopikenangan54,31,81,2025-06-07 03:54:06+00:00,380,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,2979,17,Amiinn yaAllah😇 #jodohku #bismillah #foryupage #xcyzba #fypシ゚viral ,27,https://www.tiktok.com/@kopikenangan54/video/7513050726633983288
1398,orlacoffee68,589,185,2025-05-02 03:24:32+00:00,20000,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,277200,775,အယ် အယ် #ORLA #orlacoffee68 #myanmarcoffee #coffee #fy #coffeelover #tending #fyppppppppppppppppppppppp #fypပေါ်ရောက်စမ်း😒👊🏻မရောက်လည်းနေ🥴 ,7,https://www.tiktok.com/@orlacoffee68/video/7499684064190844167
270500,torpenguin,482,38,2025-05-13 12:00:00+00:00,2131,True,Saraphi District,"CHAPTER 2WO COFFEE, Saraphi",50600,796,เปิดร้านกาแฟนอกเมือง พีคสุด 400 แก้ว/วัน ทำไมถึงขายดีขนาดนี้ ? | คุณตู๋ เจ้าของร้าน #Chapter2WO  #chapter2wocoffee #chapter2wosaraphi #กาแฟ #เปิดร้านกาแฟ #ร้านกาแฟ #ร้านกาแฟเชียงใหม่ #คาเฟ่ #คาเฟ่เชียงใหม่ #ทําร้านกาแฟ #ธุรกิจ #เจ้าของธุรกิจ #ทำเล #โอกาสทางธุรกิจ #กลุ่มลูกค้า #ต่อเพนกวิน #Torpenguin,134,https://www.tiktok.com/@torpenguin/video/7503885949219147009
2,nyemiliciuosgabus,0,0,2025-06-15 06:46:20+00:00,14,True,Tidak Mengisi/Tidak diketahui,Pati Regency,369,2,#xyzbca #fyp #pati #dimsumgoreng #pati24jam #patihits ,15,https://www.tiktok.com/@nyemiliciuosgabus/video/7516063804719910150
1001,mamampiii,1,0,2025-06-16 04:51:56+00:00,32,True,Tangerang Regency,Kopi Kenangan - Summarecon Mall Serpong,3346,0,Klik tag lokasi diatas buat dapetin promonya👆🏻🫶🏻 #tiktokgo #kopikenangan #kopken #kopi ,15,https://www.tiktok.com/@mamampiii/video/7516405388380589368
7898,tiandeh__,164,44,2025-06-16 05:22:36+00:00,1539,True,Tidak Mengisi/Tidak diketahui,Surabaya,28500,1145,#cafesurabaya #surabaya #placetogo #tempatnongkrong #surabayatiktok #fyp #surabayaviral #surabayahitz #surabayapusat #surabaya24jam #kopikenangan ,15,https://www.tiktok.com/@tiandeh__/video/7516413307004194104
417,alma.diary,126,69,2025-06-15 08:14:42+00:00,803,True,Jakarta,Kopi Kenangan - Ruko Jalan Tebet Raya,20300,120,September 2021 lalu Kopi Kenangan meluncurkan tumbler BTS x Built New York Project. Awal keluar harganya Rp 699k per tumbler. Mulai Mei 2025 ini ada Parade Merchandise dengan penawaran spesial 🤗 Beli 1: Diskon 50% Beli 3: Diskon 75% Normal Price: Rp 669k-Rp 699k Wah jadi lebih terjangkau ya! Yuk kunjungi outlet Kopi Kenangan terdekat& lengkapi koleksi Tumbler BTS x Built NY ,40,https://www.tiktok.com/@alma.diary/video/7516086586300304647
10400,mooi1999taylorsversion,302,393,2025-02-19 15:45:12+00:00,4191,True,Tidak Mengisi/Tidak diketahui,Jakarta,111800,222,Can u imagine 2 Kopi Kenangan for RM8.50 ?!? Memang banyak benda murahhh di sana 🫶🏼🫥 & Kopinya sedappp! bikin hati mau kembali 🇮🇩 baru sebulan lepas balik ..~.# #mooi #2025 #indonesia  #malaysian #tiktok @Kenangancoffee.my @Kopi Kenangan #.~,23,https://www.tiktok.com/@mooi1999taylorsversion/video/7473156805087120647
43100,flower_della1,14,11,2025-05-14 09:51:45+00:00,167,True,Lumajang,Andok'an,3857,11,#Andok_ane_doro #wonorejo_lumajang #fypdobggggggg #fypage #marimerapat_cafekopikenangan #fypdobggggggg ,59,https://www.tiktok.com/@flower_della1/video/7504236868926606647
22400,kenangancoffee.my,3146,1282,2023-10-09 10:14:58+00:00,61000,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,1300000,5794,"GEMPAR: Aksi seorang lelaki di Kenangan Coffee yang dipercayai cuba melarikan beg seorang pelanggan dirakam oleh CCTV. Walau bagaimanapun, lelaki tersebut sebenarnya ingin mempromosikan ""Coffee RM1*"" sempena ulangtahun pertama Kenangan Coffee.  Anda tunggu apa lagi? Rebut promosi istimewa ini sekarang! #KenanganCoffee #KenanganKita #1stAnniversary Tertakluk kepada terma & syarat. Sementara stok masih ada *RM 1 kopi saiz kecil dengan pembelian 1 kopi saiz besar",31,https://www.tiktok.com/@kenangancoffee.my/video/7287900194925038854
1364,witawiand,4,5,2025-05-10 23:30:33+00:00,36,True,Padang,Kopi Kenangan - Stasiun Tabing Padang (Bondex),4052,19,,7,https://www.tiktok.com/@witawiand/video/7502963517516008709
270,jenomarlboro,1026,170,2023-11-03 08:35:45+00:00,29300,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,424900,727,#kopikenangan size baruuu😍😍,6,https://www.tiktok.com/@jenomarlboro/video/7297151760156708102
35,dellasays,24,11,2024-09-27 15:34:20+00:00,120,True,Bogor City,Kopi Kenangan - Super Indo Pajajaran,38500,11,Menu dan harga Kopi Kenangan lengkap per September 2024. Termasuk Kopi Kenangan Butter Scotch Angga Yunanda. Sekaligus cara klaim voucher kopi kenangan diskon sampe 40%  #dellasays #kopikenangan  #coffeeshop #coffeetiktok  #promokopikenangan  #CapCut ,40,https://www.tiktok.com/@dellasays/video/7419346638998719749
7898,tiandeh__,162,42,2025-06-16 05:22:36+00:00,1536,True,Tidak Mengisi/Tidak diketahui,Surabaya,28500,1145,#cafesurabaya #surabaya #placetogo #tempatnongkrong #surabayatiktok #fyp #surabayaviral #surabayahitz #surabayapusat #surabaya24jam #kopikenangan ,15,https://www.tiktok.com/@tiandeh__/video/7516413307004194104
219,garizaaa,5,1,2025-05-27 23:16:43+00:00,71,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,4040,19,gabut aja #kopikenangan #baperista #barista ,15,https://www.tiktok.com/@garizaaa/video/7509268410832850232
152,a.sunkwn,1,7,2025-06-08 11:25:37+00:00,15,True,Jakarta,Central Jakarta,2078,0,"Pada hal dulu cookies nya enak banget, tapi kenapa sekarang jadi kaya kue dorayaki ? 😭🙏🏻 @Kopi Kenangan  #fyp #foryou #kopi #cookies #iduladha #guncang66 #tiktokviral #funny #testimony ",6,https://www.tiktok.com/@a.sunkwn/video/7513538183016107320
1134,wrisgi,3,7,2025-05-07 04:25:46+00:00,16,True,Semarang City,Kopi Kenangan - Ruko Ngaliyan,5111,2,"kopi kenangan - setiap tegukan, ada kenangan yang terulang #kopikenangan #kopi #minumanviral ",10,https://www.tiktok.com/@wrisgi/video/7501555260444495110
1538,yulia7386_,2,0,2025-06-07 03:45:28+00:00,47,True,Banyumas Regency,Kopi Kenangan - Rita Supermall Purwokerto,5988,0,"Gak nyangka beli kopi bisa sehemat ini 😱👇"" Beli Kopi Kenangan langsung dari TikTok, diskonnya bikin nagih! 🧋 #KopiKenangan #DiskonTikTok #viral #viralvideo #voucherkopikenangan #promokopikenangan #diskonkopikenangan #promokopikenangan #ritamallpurwokerto #ritasupermallpurwokerto #kopikenanganritamallpurwokerto #kopikenanganpurwokerto #vouchertiktokkopikenangan ",15,https://www.tiktok.com/@yulia7386_/video/7513048511751933190
374,nikehalim,11,6,2025-05-03 06:14:39+00:00,55,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,6492,32,Buruannn ke kopken terdekatt stock limited 😍😍 #kopikenangan #capybara #capybaratiktok #jakarta ,40,https://www.tiktok.com/@nikehalim/video/7500098978017545490
1100000,laguindiaenak,0,0,2025-06-16 09:58:12+00:00,47,True,Bekasi Regency,Kopi Kenangan - Ruko Grand Wisata Bekasi,977,0,Kopi kenangan favorit bgt,13,https://www.tiktok.com/@laguindiaenak/video/7516484339190762757
7484,bumnswastaa,5,20,2025-06-14 04:37:53+00:00,64,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,6129,6,Dibutuhkan segera..  #kopi #kopibubuk #kopikenangan #loker2025 #lokerterbaru #lokerindonesia #foryou #zxycba #foryoupage ,12,https://www.tiktok.com/@bumnswastaa/video/7515659628198366471
3694,riannadewi8,8,1,2025-06-15 03:19:42+00:00,158,True,Tangerang Regency,Kopi Kenangan - Grand Batavia,1803,0,#CapCut penunggu pohon Kopi Kenangan 🤪#fyp ,14,https://www.tiktok.com/@riannadewi8/video/7516010564129246482
1427,fomojember_,251,27,2025-02-05 06:49:15+00:00,1970,True,Jember,Kopi Kenangan - Roxy Square Jember,73300,458,"Selalu setia kesini kalo lagi ke Roxy Jember ❤️✌️ Tempatnya cocok buat istirahat setelah capek muterin roxy, menu minumannya beragam ada coffee dan non coffee, harga start from 15rb, kalo pengen lebih murah bisa pesen via app atau beli voucher di tiktok. @Kopi Kenangan  📍 Roxy Square Jember #kopikenangan #roxyjember #kafejember #kafeviral #viraljember #cafejember #explorejember #infojember #kulinerjember #coffeeshopjember #coffeeshopindonesia #kulinerjember #makananjember #viraljember #jembertiktok #jember24jam #explorejember #coffeeshopjember ",16,https://www.tiktok.com/@fomojember_/video/7467823448442621190
81600,ninilll_123,27,18,2025-06-15 05:39:36+00:00,274,True,Kebumen,Sruweng,6252,24,#kopikenangan #mylove #vedeoviral #tik_tok #fypシ゚  #👌👌👌 #💪💪💪 #❤️❤️❤️❤️❤️ ,60,https://www.tiktok.com/@ninilll_123/video/7516046613169655047
45400,diahayukusumawardanii,52,16,2025-06-11 11:25:26+00:00,582,True,Tidak Mengisi/Tidak diketahui,Probolinggo Regency,19700,126,"‼️Yeay! Es Coklat Kuwentel by Roti John Surabaya hadir lagi di Probolinggo, tapi kali ini di Genggong‼️ @escoklatkuwentel_kraksaan  Ada PROMO BELI 3 GRATIS 1  (Berlaku Tanggal 11-13 Juni 2025) 📍Jl.Condong Desa Karangbong PP.Zainul Hasan Genggong, Pajarakan ⏰Setiap Hari Jam 9 Pagi - 9 Malam 💸Start From 8.000 📱0822-5715-7578 Akhirnya Es Coklat Kuwentel by RJS hadirr di genggong🫶🏻Yukk buruan merapat dan nikmati promonya❤️‍🔥 #escoklatkuwentel #escoklatkuwentelgenggong #escoklatkuwentelprobolinggo #grandopeninescoklatkuwentelprobolinggo #escoklatkuwentelbyrotijhonsurabaya #escoklatkuwentelbyrjs #escoklat #kulinerkotaprobolinggo #kulinerprobolinggo #wisatakulinerprobolinggo #probolinggokuliner #foodiesprobolinggo #foodgramprobolinggo #influencerprobolinggo",61,https://www.tiktok.com/@diahayukusumawardanii/video/7514651394205322501
11100,rajajualannih,557,1052,2025-02-14 18:01:06+00:00,9351,True,Pekanbaru,TOMORO COFFEE - Ruko Gobah,1000000,315,Kalian Tim Tomoro Coffee Atau Kopi Kenangan?? #tiktokgo #promotiktok #TTPetualangNewbie #promokopi #tomorococonutlatte #tomorocoffee #promotomorocoffee #kopikenangan #promokopikenangan ,17,https://www.tiktok.com/@rajajualannih/video/7471336394766437650
494300,ch.sreykhouch,7060,868,2025-04-08 10:14:34+00:00,120100,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,1300000,2229,បើជាទេសភាពអូនប្រៀបបងដូចជាថ្ងៃលិច 🏜️❤️#chansreykouch #khouch #បណ្ដូលចិត្ត ,57,https://www.tiktok.com/@ch.sreykhouch/video/7490883663148895543
92700,axlkonkhmer,6,6,2025-06-08 16:33:53+00:00,196,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,1924,12,You guys bey sach also luk cafe follow our page ☺️🫶 @Sipy Sipme ,49,https://www.tiktok.com/@axlkonkhmer/video/7513617625218387218
17600,kopikamu_official,4185,883,2025-05-03 19:32:41+00:00,81300,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,852300,1561,Kenang kenangan untuk kak @ndshvv  Terimakasih kakkk😊 #kopikamu #KopiExperience #Cafejakarta #YourThirdPlace #ClassMeetComfort,67,https://www.tiktok.com/@kopikamu_official/video/7500304632497851703
10900,kenangansparks,1243,142,2024-12-19 12:33:21+00:00,16800,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,10800000,642,Yang BARU dan bikin GLOWING! ✨ Minuman FRESH FRUIT pertama di Indonesia dengan NIACINAMIDE dan ZERO SUGAR. Beli sekarang di Alfamart dan Kopi Kenangan! #SparksYourself #SegernyaBikinGlowing,14,https://www.tiktok.com/@kenangansparks/video/7450100065558859013
50,nick.an69,0,0,2025-06-15 14:27:01+00:00,5,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,88,0,#Buổi sáng cùng ly cafe không đường,18,https://www.tiktok.com/@nick.an69/video/7516182308177661230
10600000,amritsaraje,66700,5577,2023-11-07 08:33:03+00:00,989700,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,18900000,6344,"Jadi keinget tugasnya manusia itu berusaha!  Ini Rafa masih umur 11 tahun aja usahanya udah gigih banget, dan jangan pernah takut bermimpi ya soalnya kan ada Dreamy Choco Series di @Kopi Kenangan  #DreamyChocoSeries  #KopiKenangan ",129,https://www.tiktok.com/@amritsaraje/video/7298635403995778309
23800,nham.coffee,286,41,2025-06-13 09:33:57+00:00,5413,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,142800,1090,Naughtiness #nhamcoffee #coffee #saigon #xuhuong #nhamcafe #fyp ,8,https://www.tiktok.com/@nham.coffee/video/7515364837673733394
43600,blackcoffee.02,216,10,2025-03-22 13:05:52+00:00,1771,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,65600,533,#story #CapCut #katakata #quotes #xybca #storywa #nostalgia #iwanfals #oi #fyp #fypシ゚ #foryou #viraltiktok #trend #fyppppppppppppppppppppppp ,34,https://www.tiktok.com/@blackcoffee.02/video/7484619367829884166
6651,rasitiii_,9,32,2025-06-14 10:54:58+00:00,164,True,Jakarta,East Jakarta,2017,2,"#kopi kenangan#
halim perdana kusumah ",60,https://www.tiktok.com/@rasitiii_/video/7515756797316189458
121600,simply_sw09,20,6,2025-06-14 06:44:04+00:00,382,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,11900,5,Replying to @Moomoon  Ala ene café avec mo la main 🤚🏼👌🏼 #fyp #coffeetime ,60,https://www.tiktok.com/@simply_sw09/video/7515692140240915720
11500,سـعِدٓ,32,15,2025-06-13 20:24:45+00:00,186,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,29200,62,,34,https://www.tiktok.com/@سـعِدٓ/video/7515532537150639367
648,alfatar855,14,28,2025-06-02 12:02:12+00:00,182,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,18600,20,#semoga hargabkopi tambah bagus k belakangnya....🤲🏻,31,https://www.tiktok.com/@alfatar855/video/7511321113813699848
